,presente,imperfecto,indefinido,futuro,condicional,perfecto,pluscuamperfecto,pretérito anterior,futuro perfecto,condicional compuesto,subjuntivo presente,subjuntivo imperfecto,subjuntivo futuro,subjuntivo perfecto,subjuntivo pluscuamperfecto,subjuntivo futuro perfecto,imperativo afirmativo,imperativo negativo
oír,"['oigo', 'oyes', 'oye', 'oímos', 'oís', 'oyen']","['oía', 'oías', 'oía', 'oíamos', 'oíais', 'oían']","['oí', 'oíste', 'oyó', 'oímos', 'oísteis', 'oyeron']","['oiré', 'oirás', 'oirá', 'oiremos', 'oiréis', 'oirán']","['oiría', 'oirías', 'oiría', 'oiríamos', 'oiríais', 'oirían']","['he oído', 'has oído', 'ha oído', 'hemos oído', 'habéis oído', 'han oído']","['había oído', 'habías oído', 'había oído', 'habíamos oído', 'habíais oído', 'habían oído']","['hube oído', 'hubiste oído', 'hubo oído', 'hubimos oído', 'hubisteis oído', 'hubieron oído']","['habré oído', 'habrás oído', 'habrá oído', 'habremos oído', 'habréis oído', 'habrán oído']","['habría oído', 'habrías oído', 'habría oído', 'habríamos oído', 'habríais oído', 'habrían oído']","['oiga', 'oigas', 'oiga', 'oigamos', 'oigáis', 'oigan']","['oyera/oyese', 'oyeras/oyeses', 'oyera/oyese', 'oyéramos/oyésemos', 'oyérais/oyéseis', 'oyeran/oyesen']","['oyere', 'oyeres', 'oyere', 'oyéremos', 'oyéreis', 'oyeren']","['haya oído', 'hayas oído', 'haya oído', 'hayamos oído', 'hayáis oído', 'hayan oído']","['hubiera/hubiese oído', 'hubieras/hubieses oído', 'hubiera/hubiese oído', 'hubiéramos/hubiésemos oído', 'hubierais/hubieseis oído', 'hubieran/hubiesen oído']","['hubiere oído', 'hubieres oído', 'hubiere oído', 'hubiéremos oído', 'hubiereis oído', 'hubieren oído']","['oye', 'oiga', 'oigamos', 'oíd', 'oigan']","['no oigas', 'no oiga', 'no oigamos', 'no oigáis', 'no oigan']"
elegir,"['elijo', 'eliges', 'elige', 'elegimos', 'elegís', 'eligen']","['elegía', 'elegías', 'elegía', 'elegíamos', 'elegíais', 'elegían']","['elegí', 'elegiste', 'eligió', 'elegimos', 'elegisteis', 'eligieron']","['elegiré', 'elegirás', 'elegirá', 'elegiremos', 'elegiréis', 'elegirán']","['elegiría', 'elegirías', 'elegiría', 'elegiríamos', 'elegiríais', 'elegirían']","['he elegido', 'has elegido', 'ha elegido', 'hemos elegido', 'habéis elegido', 'han elegido']","['había elegido', 'habías elegido', 'había elegido', 'habíamos elegido', 'habíais elegido', 'habían elegido']","['hube elegido', 'hubiste elegido', 'hubo elegido', 'hubimos elegido', 'hubisteis elegido', 'hubieron elegido']","['habré elegido', 'habrás elegido', 'habrá elegido', 'habremos elegido', 'habréis elegido', 'habrán elegido']","['habría elegido', 'habrías elegido', 'habría elegido', 'habríamos elegido', 'habríais elegido', 'habrían elegido']","['elija', 'elijas', 'elija', 'elijamos', 'elijáis', 'elijan']","['eligiera/eligiese', 'eligieras/eligieses', 'eligiera/eligiese', 'eligiéramos/eligiésemos', 'eligierais/eligieseis', 'eligieran/eligiesen']","['eligiere', 'eligieres', 'eligiere', 'eligiéremos', 'eligiereis', 'eligieren']","['haya elegido', 'hayas elegido', 'haya elegido', 'hayamos elegido', 'hayáis elegido', 'hayan elegido']","['hubiera/hubiese elegido', 'hubieras/hubieses elegido', 'hubiera/hubiese elegido', 'hubiéramos/hubiésemos elegido', 'hubierais/hubieseis elegido', 'hubieran/hubiesen elegido']","['hubiere elegido', 'hubieres elegido', 'hubiere elegido', 'hubiéremos elegido', 'hubiereis elegido', 'hubieren elegido']","['elige', 'elija', 'elijamos', 'elegid', 'elijan']","['no elijas', 'no elija', 'no elijamos', 'no elijáis', 'no elijan']"
seguir,"['sigo', 'sigues', 'sigue', 'seguimos', 'seguís', 'siguen']","['seguía', 'seguías', 'seguía', 'seguíamos', 'seguíais', 'seguían']","['seguí', 'seguiste', 'siguió', 'seguimos', 'seguisteis', 'siguieron']","['seguiré', 'seguirás', 'seguirá', 'seguiremos', 'seguiréis', 'seguirán']","['seguiría', 'seguirías', 'seguiría', 'seguiríamos', 'seguiríais', 'seguirían']","['he seguido', 'has seguido', 'ha seguido', 'hemos seguido', 'habéis seguido', 'han seguido']","['había seguido', 'habías seguido', 'había seguido', 'habíamos seguido', 'habíais seguido', 'habían seguido']","['hube seguido', 'hubiste seguido', 'hubo seguido', 'hubimos seguido', 'hubisteis seguido', 'hubieron seguido']","['habré seguido', 'habrás seguido', 'habrá seguido', 'habremos seguido', 'habréis seguido', 'habrán seguido']","['habría seguido', 'habrías seguido', 'habría seguido', 'habríamos seguido', 'habríais seguido', 'habrían seguido']","['siga', 'sigas', 'siga', 'sigamos', 'sigáis', 'sigan']","['siguiera/siguiese', 'siguieras/siguieses', 'siguiera/siguiese', 'siguiéramos/siguiésemos', 'siguierais/siguieseis', 'siguieran/siguiesen']","['siguiere', 'siguieres', 'siguiere', 'siguiéremos', 'siguiereis', 'siguieren']","['haya seguido', 'hayas seguido', 'haya seguido', 'hayamos seguido', 'hayáis seguido', 'hayan seguido']","['hubiera/hubiese seguido', 'hubieras/hubieses seguido', 'hubiera/hubiese seguido', 'hubiéramos/hubiésemos seguido', 'hubierais/hubieseis seguido', 'hubieran/hubiesen seguido']","['hubiere seguido', 'hubieres seguido', 'hubiere seguido', 'hubiéremos seguido', 'hubiereis seguido', 'hubieren seguido']","['sigue', 'siga', 'sigamos', 'seguid', 'sigan']","['no sigas', 'no siga', 'no sigamos', 'no sigáis', 'no sigan']"
surgir,"['surjo', 'surges', 'surge', 'surgimos', 'surgís', 'surgen']","['surgía', 'surgías', 'surgía', 'surgíamos', 'surgíais', 'surgían']","['surgí', 'surgiste', 'surgió', 'surgimos', 'surgisteis', 'surgieron']","['surgiré', 'surgirás', 'surgirá', 'surgiremos', 'surgiréis', 'surgirán']","['surgiría', 'surgirías', 'surgiría', 'surgiríamos', 'surgiríais', 'surgirían']","['he surgido', 'has surgido', 'ha surgido', 'hemos surgido', 'habéis surgido', 'han surgido']","['había surgido', 'habías surgido', 'había surgido', 'habíamos surgido', 'habíais surgido', 'habían surgido']","['hube surgido', 'hubiste surgido', 'hubo surgido', 'hubimos surgido', 'hubisteis surgido', 'hubieron surgido']","['habré surgido', 'habrás surgido', 'habrá surgido', 'habremos surgido', 'habréis surgido', 'habrán surgido']","['habría surgido', 'habrías surgido', 'habría surgido', 'habríamos surgido', 'habríais surgido', 'habrían surgido']","['surja', 'surjas', 'surja', 'surjamos', 'surjáis', 'surjan']","['surgiera/surgiese', 'surgieras/surgieses', 'surgiera/surgiese', 'surgiéramos/surgiésemos', 'surgierais/surgieseis', 'surgieran/surgiesen']","['surgiere', 'surgieres', 'surgiere', 'surgiéremos', 'surgiereis', 'surgieren']","['haya surgido', 'hayas surgido', 'haya surgido', 'hayamos surgido', 'hayáis surgido', 'hayan surgido']","['hubiera/hubiese surgido', 'hubieras/hubieses surgido', 'hubiera/hubiese surgido', 'hubiéramos/hubiésemos surgido', 'hubierais/hubieseis surgido', 'hubieran/hubiesen surgido']","['hubiere surgido', 'hubieres surgido', 'hubiere surgido', 'hubiéremos surgido', 'hubiereis surgido', 'hubieren surgido']","['surge', 'surja', 'surjamos', 'surgid', 'surjan']","['no surjas', 'no surja', 'no surjamos', 'no surjáis', 'no surjan']"
volver,"['vuelvo', 'vuelves', 'vuelve', 'volvemos', 'volvéis', 'vuelven']","['volvía', 'volvías', 'volvía', 'volvíamos', 'volvíais', 'volvían']","['volví', 'volviste', 'volvió', 'volvimos', 'volvisteis', 'volvieron']","['volveré', 'volverás', 'volverá', 'volveremos', 'volveréis', 'volverán']","['volvería', 'volverías', 'volvería', 'volveríamos', 'volveríais', 'volverían']","['he vuelto', 'has vuelto', 'ha vuelto', 'hemos vuelto', 'habéis vuelto', 'han vuelto']","['había vuelto', 'habías vuelto', 'había vuelto', 'habíamos vuelto', 'habíais vuelto', 'habían vuelto']","['hube vuelto', 'hubiste vuelto', 'hubo vuelto', 'hubimos vuelto', 'hubisteis vuelto', 'hubieron vuelto']","['habré vuelto', 'habrás vuelto', 'habrá vuelto', 'habremos vuelto', 'habréis vuelto', 'habrán vuelto']","['habría vuelto', 'habrías vuelto', 'habría vuelto', 'habríamos vuelto', 'habríais vuelto', 'habrían vuelto']","['vuelva', 'vuelvas', 'vuelva', 'volvamos', 'volváis', 'vuelvan']","['volviera/volviese', 'volvieras/volvieses', 'volviera/volviese', 'volviéramos/volviésemos', 'volvierais/volvieseis', 'volvieran/volviesen']","['volviere', 'volvieres', 'volviere', 'volviéremos', 'volviereis', 'volvieren']","['haya vuelto', 'hayas vuelto', 'haya vuelto', 'hayamos vuelto', 'hayáis vuelto', 'hayan vuelto']","['hubiera/hubiese vuelto', 'hubieras/hubieses vuelto', 'hubiera/hubiese vuelto', 'hubiéramos/hubiésemos vuelto', 'hubierais/hubieseis vuelto', 'hubieran/hubiesen vuelto']","['hubiere vuelto', 'hubieres vuelto', 'hubiere vuelto', 'hubiéremos vuelto', 'hubiereis vuelto', 'hubieren vuelto']","['vuelve', 'vuelva', 'volvamos', 'volved', 'vuelvan']","['no vuelvas', 'no vuelva', 'no volvamos', 'no volváis', 'no vuelvan']"
mentir,"['miento', 'mientes', 'miente', 'mentimos', 'mentís', 'mienten']","['mentía', 'mentías', 'mentía', 'mentíamos', 'mentíais', 'mentían']","['mentí', 'mentiste', 'mintió', 'mentimos', 'mentisteis', 'mintieron']","['mentiré', 'mentirás', 'mentirá', 'mentiremos', 'mentiréis', 'mentirán']","['mentiría', 'mentirías', 'mentiría', 'mentiríamos', 'mentiríais', 'mentirían']","['he mentido', 'has mentido', 'ha mentido', 'hemos mentido', 'habéis mentido', 'han mentido']","['había mentido', 'habías mentido', 'había mentido', 'habíamos mentido', 'habíais mentido', 'habían mentido']","['hube mentido', 'hubiste mentido', 'hubo mentido', 'hubimos mentido', 'hubisteis mentido', 'hubieron mentido']","['habré mentido', 'habrás mentido', 'habrá mentido', 'habremos mentido', 'habréis mentido', 'habrán mentido']","['habría mentido', 'habrías mentido', 'habría mentido', 'habríamos mentido', 'habríais mentido', 'habrían mentido']","['mienta', 'mientas', 'mienta', 'mentamos', 'mentáis', 'mienta']","['mintiera/mintiese', 'mintieras/mintieses', 'mintiera/mintiese', 'mintiéramos/mintiésemos', 'mintierais/mintieseis', 'mintieran/mintiesen']","['mintiere', 'mintieres', 'mintiere', 'mintiéremos', 'mintiereis', 'mintieren']","['haya mentido', 'hayas mentido', 'haya mentido', 'hayamos mentido', 'hayáis mentido', 'hayan mentido']","['hubiera/hubiese mentido', 'hubieras/hubieses mentido', 'hubiera/hubiese mentido', 'hubiéramos/hubiésemos mentido', 'hubierais/hubieseis mentido', 'hubieran/hubiesen mentido']","['hubiere mentido', 'hubieres mentido', 'hubiere mentido', 'hubiéremos mentido', 'hubiereis mentido', 'hubieren mentido']","['miente', 'mienta', 'mentamos', 'mentid', 'mienta']","['no mientas', 'no mienta', 'no mentamos', 'no mentáis', 'no mienta']"
traer,"['traigo', 'traes', 'trae', 'traemos', 'traéis', 'traen']","['traía', 'traías', 'traía', 'traíamos', 'traíais', 'traían']","['traje', 'trajiste', 'trajo', 'trajimos', 'trajisteis', 'trajeron']","['traeré', 'traerás', 'traerá', 'traeremos', 'traeréis', 'traerán']","['traería', 'traerías', 'traería', 'traeríamos', 'traeríais', 'traerían']","['he traído', 'has traído', 'ha traído', 'hemos traído', 'habéis traído', 'han traído']","['había traído', 'habías traído', 'había traído', 'habíamos traído', 'habíais traído', 'habían traído']","['hube traído', 'hubiste traído', 'hubo traído', 'hubimos traído', 'hubisteis traído', 'hubieron traído']","['habré traído', 'habrás traído', 'habrá traído', 'habremos traído', 'habréis traído', 'habrán traído']","['habría traído', 'habrías traído', 'habría traído', 'habríamos traído', 'habríais traído', 'habrían traído']","['traiga', 'traigas', 'traiga', 'traigamos', 'traigáis', 'traigan']","['trajera/trajese', 'trajeras/trajeses', 'trajera/trajese', 'trajéramos/trajésemos', 'trajerais/trajeseis', 'trajeran/trajesen']","['trajere', 'trajeres', 'trajere', 'trajéremos', 'trajereis', 'trajeren']","['haya traído', 'hayas traído', 'haya traído', 'hayamos traído', 'hayáis traído', 'hayan traído']","['hubiera/hubiese traído', 'hubieras/hubieses traído', 'hubiera/hubiese traído', 'hubiéramos/hubiésemos traído', 'hubierais/hubieseis traído', 'hubieran/hubiesen traído']","['hubiere traído', 'hubieres traído', 'hubiere traído', 'hubiéremos traído', 'hubiereis traído', 'hubieren traído']","['trae', 'traiga', 'traigamos', 'traed', 'traigan']","['no traigas', 'no traiga', 'no traigamos', 'no traigáis', 'no traigan']"
arrepentir,"['me arrepiento', 'te arrepientes', 'se arrepiente', 'nos arrepentimos', 'os arrepentís', 'se arrepienten']","['me arrepentía', 'te arrepentías', 'se arrepentía', 'nos arrepentíamos', 'os arrepentíais', 'se arrepentían']","['me arrepentí', 'te arrepentiste', 'se arrepintió', 'nos arrepentimos', 'os arrepentisteis', 'se arrepintieron']","['me arrepentiré', 'te arrepentirás', 'se arrepentirá', 'nos arrepentiremos', 'os arrepentiréis', 'se arrepentirán']","['me arrepentiría', 'te arrepentirías', 'se arrepentiría', 'nos arrepentiríamos', 'os arrepentiríais', 'se arrepentirían']","['me he arrepentido', 'te has arrepentido', 'se ha arrepentido', 'nos hemos arrepentido', 'os habéis arrepentido', 'se han arrepentido']","['me había arrepentido', 'te habías arrepentido', 'se había arrepentido', 'nos habíamos arrepentido', 'os habíais arrepentido', 'se habían arrepentido']","['me hube arrepentido', 'te hubiste arrepentido', 'se hubo arrepentido', 'nos hubimos arrepentido', 'os hubisteis arrepentido', 'se hubieron arrepentido']","['me habré arrepentido', 'te habrás arrepentido', 'se habrá arrepentido', 'nos habremos arrepentido', 'os habréis arrepentido', 'se habrán arrepentido']","['me habría arrepentido', 'te habrías arrepentido', 'se habría arrepentido', 'nos habríamos arrepentido', 'os habríais arrepentido', 'se habrían arrepentido']","['me arrepienta', 'te arrepientas', 'se arrepienta', 'nos arrepintamos', 'os arrepintáis', 'se arrepientan']","['me arrepintiera/arrepintiese', 'te arrepintieras/arrepintieses', 'se arrepintiera/arrepintiese', 'nos arrepintiéramos/arrepintiésemos', 'os arrepintierais/arrepintieseis', 'se arrepintieran/arrepintiesen']","['me arrepintiere', 'te arrepintieres', 'se arrepintiere', 'nos arrepintiéremos', 'os arrepintiereis', 'se arrepintieren']","['me haya arrepentido', 'te hayas arrepentido', 'se haya arrepentido', 'nos hayamos arrepentido', 'os hayáis arrepentido', 'se hayan arrepentido']","['me hubiera/hubiese arrepentido', 'te hubieras/hubieses arrepentido', 'se hubiera/hubiese arrepentido', 'nos hubiéramos/hubiésemos arrepentido', 'os hubierais/hubieseis arrepentido', 'se hubieran/hubiesen arrepentido']","['me hubiere arrepentido', 'te hubieres arrepentido', 'se hubiere arrepentido', 'nos hubiéremos arrepentido', 'os hubiereis arrepentido', 'se hubieren arrepentido']","['arrepiéntete', 'arrepiéntase', 'arrepentámonos', 'arrepentíos', 'arrepiéntanse']","['no te arrepientas', 'no se arrepienta', 'no nos arrepintamos', 'no os arrepintáis', 'no se arrepientan']"
adquirir,"['adquiero', 'adquieres', 'adquiere', 'adquirimos', 'adquirís', 'adquieren']","['adquiría', 'adquirías', 'adquiría', 'adquiríamos', 'adquiríais', 'adquirían']","['adquirí', 'adquiriste', 'adquirió', 'adquirimos', 'adquiristeis', 'adquirieron']","['adquiriré', 'adquirirás', 'adquirirá', 'adquiriremos', 'adquiriréis', 'adquirirán']","['adquiriría', 'adquirirías', 'adquiriría', 'adquiriríamos', 'adquiriríais', 'adquirirían']","['he adquirido', 'has adquirido', 'ha adquirido', 'hemos adquirido', 'habéis adquirido', 'han adquirido']","['había adquirido', 'habías adquirido', 'había adquirido', 'habíamos adquirido', 'habíais adquirido', 'habían adquirido']","['hube adquirido', 'hubiste adquirido', 'hubo adquirido', 'hubimos adquirido', 'hubisteis adquirido', 'hubieron adquirido']","['habré adquirido', 'habrás adquirido', 'habrá adquirido', 'habremos adquirido', 'habréis adquirido', 'habrán adquirido']","['habría adquirido', 'habrías adquirido', 'habría adquirido', 'habríamos adquirido', 'habríais adquirido', 'habrían adquirido']","['adquiera', 'adquieras', 'adquiera', 'adquiramos', 'adquiráis', 'adquieran']","['adquiriera / adquiriese', 'adquirieras / adquirieses', 'adquiriera / adquiriese', 'adquiriéramos / adquiriésemos', 'adquirierais / adquirieseis', 'adquirieran / adquiriesen']","['adquiriere', 'adquirieres', 'adquiriere', 'adquiriéremos', 'adquiriereis', 'adquirieren']","['haya adquirido', 'hayas adquirido', 'haya adquirido', 'hayamos adquirido', 'hayáis adquirido', 'hayan adquirido']","['hubiera/hubiese adquirido', 'hubieras/hubieses adquirido', 'hubiera/hubiese adquirido', 'hubiéramos/hubiésemos adquirido', 'hubierais/hubieseis adquirido', 'hubieran/hubiesen adquirido']","['hubiere adquirido', 'hubieres adquirido', 'hubiere adquirido', 'hubiéremos adquirido', 'hubiereis adquirido', 'hubieren adquirido']","['adquiere', 'adquiera', 'adquiramos', 'adquirid', 'adquieran']","['no adquieras', 'no adquiera', 'no adquiramos', 'no adquiráis', 'no adquieran']"
dibujar,"['dibujo', 'dibujas', 'dibuja', 'dibujamos', 'dibujáis', 'dibujan']","['dibujaba', 'dibujabas', 'dibujaba', 'dibujábamos', 'dibujabais', 'dibujaban']","['dibujé', 'dibujaste', 'dibujó', 'dibujamos', 'dibujasteis', 'dibujaron']","['dibujaré', 'dibujarás', 'dibujará', 'dibujaremos', 'dibujaréis', 'dibujarán']","['dibujaría', 'dibujarías', 'dibujaría', 'dibujaríamos', 'dibujaríais', 'dibujarían']","['he dibujado', 'has dibujado', 'ha dibujado', 'hemos dibujado', 'habéis dibujado', 'han dibujado']","['había dibujado', 'habías dibujado', 'había dibujado', 'habíamos dibujado', 'habíais dibujado', 'habían dibujado']","['hube dibujado', 'hubiste dibujado', 'hubo dibujado', 'hubimos dibujado', 'hubisteis dibujado', 'hubieron dibujado']","['habré dibujado', 'habrás dibujado', 'habrá dibujado', 'habremos dibujado', 'habréis dibujado', 'habrán dibujado']","['habría dibujado', 'habrías dibujado', 'habría dibujado', 'habríamos dibujado', 'habríais dibujado', 'habrían dibujado']","['dibuje', 'dibujes', 'dibuje', 'dibujemos', 'dibujéis', 'dibujen']","['dibujara / dibujase', 'dibujaras / dibujases', 'dibujara / dibujase', 'dibujáramos / dibujásemos', 'dibujarais / dibujaseis', 'dibujaran / dibujasen']","['dibujare', 'dibujares', 'dibujare', 'dibujáremos', 'dibujareis', 'dibujaren']","['haya dibujado', 'hayas dibujado', 'haya dibujado', 'hayamos dibujado', 'hayáis dibujado', 'hayan dibujado']","['hubiera/hubiese dibujado', 'hubieras/hubieses dibujado', 'hubiera/hubiese dibujado', 'hubiéramos/hubiésemos dibujado', 'hubierais/hubieseis dibujado', 'hubieran/hubiesen dibujado']","['hubiere dibujado', 'hubieres dibujado', 'hubiere dibujado', 'hubiéremos dibujado', 'hubiereis dibujado', 'hubieren dibujado']","['dibuja', 'dibuje', 'dibujemos', 'dibujad', 'dibujen']","['no dibujes', 'no dibuje', 'no dibujemos', 'no dibujéis', 'no dibujen']"
besar,"['beso', 'besas', 'besa', 'besamos', 'besáis', 'besan']","['besaba', 'besabas', 'besaba', 'besábamos', 'besabais', 'besaban']","['besé', 'besaste', 'besó', 'besamos', 'besasteis', 'besaron']","['besaré', 'besarás', 'besará', 'besaremos', 'besaréis', 'besarán']","['besaría', 'besarías', 'besaría', 'besaríamos', 'besaríais', 'besarían']","['he besado', 'has besado', 'ha besado', 'hemos besado', 'habéis besado', 'han besado']","['había besado', 'habías besado', 'había besado', 'habíamos besado', 'habíais besado', 'habían besado']","['hube besado', 'hubiste besado', 'hubo besado', 'hubimos besado', 'hubisteis besado', 'hubieron besado']","['habré besado', 'habrás besado', 'habrá besado', 'habremos besado', 'habréis besado', 'habrán besado']","['habría besado', 'habrías besado', 'habría besado', 'habríamos besado', 'habríais besado', 'habrían besado']","['bese', 'beses', 'bese', 'besemos', 'beséis', 'besen']","['besara / besase', 'besaras / besases', 'besara / besase', 'besáramos / besásemos', 'besarais / besaseis', 'besaran / besasen']","['besare', 'besares', 'besare', 'besáremos', 'besareis', 'besaren']","['haya besado', 'hayas besado', 'haya besado', 'hayamos besado', 'hayáis besado', 'hayan besado']","['hubiera/hubiese besado', 'hubieras/hubieses besado', 'hubiera/hubiese besado', 'hubiéramos/hubiésemos besado', 'hubierais/hubieseis besado', 'hubieran/hubiesen besado']","['hubiere besado', 'hubieres besado', 'hubiere besado', 'hubiéremos besado', 'hubiereis besado', 'hubieren besado']","['besa', 'bese', 'besemos', 'besad', 'besen']","['no beses', 'no bese', 'no besemos', 'no beséis', 'no besen']"
impedir,"['impido', 'impides', 'impide', 'impedimos', 'impedís', 'impiden']","['impedía', 'impedías', 'impedía', 'impedíamos', 'impedíais', 'impedían']","['impedí', 'impediste', 'impidió', 'impedimos', 'impedisteis', 'impidieron']","['impediré', 'impedirás', 'impedirá', 'impediremos', 'impediréis', 'impedirán']","['impediría', 'impedirías', 'impediría', 'impediríamos', 'impediríais', 'impedirían']","['he impedido', 'has impedido', 'ha impedido', 'hemos impedido', 'habéis impedido', 'han impedido']","['había impedido', 'habías impedido', 'había impedido', 'habíamos impedido', 'habíais impedido', 'habían impedido']","['hube impedido', 'hubiste impedido', 'hubo impedido', 'hubimos impedido', 'hubisteis impedido', 'hubieron impedido']","['habré impedido', 'habrás impedido', 'habrá impedido', 'habremos impedido', 'habréis impedido', 'habrán impedido']","['habría impedido', 'habrías impedido', 'habría impedido', 'habríamos impedido', 'habríais impedido', 'habrían impedido']","['impida', 'impidas', 'impida', 'impidamos', 'impidáis', 'impidan']","['impidiera / impidiese', 'impidieras / impidieses', 'impidiera / impidiese', 'impidiéramos / impidiésemos', 'impidierais / impidieseis', 'impidieran / impidiesen']","['impidiere', 'impidieres', 'impidiere', 'impidiéremos', 'impidiereis', 'impidieren']","['haya impedido', 'hayas impedido', 'haya impedido', 'hayamos impedido', 'hayáis impedido', 'hayan impedido']","['hubiera/hubiese impedido', 'hubieras/hubieses impedido', 'hubiera/hubiese impedido', 'hubiéramos/hubiésemos impedido', 'hubierais/hubieseis impedido', 'hubieran/hubiesen impedido']","['hubiere impedido', 'hubieres impedido', 'hubiere impedido', 'hubiéremos impedido', 'hubiereis impedido', 'hubieren impedido']","['impide', 'impida', 'impidamos', 'impedid', 'impidan']","['no impidas', 'no impida', 'no impidamos', 'no impidáis', 'no impidan']"
