,Présent,Imparfait,Passé simple,Futur simple,Passé composé,Plus-que-parfait,Passé antérieur,Futur antérieur,Subjonctif Présent,Subjonctif Passé,Subjonctif Imparfait,Subjonctif Plus-que-parfait,Conditionnel Présent,Conditionnel Passé
devoir,"['dois', 'dois', 'doit', 'devons', 'devez', 'doivent']","['devais', 'devais', 'devait', 'devions', 'deviez', 'devaient']","['dus', 'dus', 'dut', 'dûmes', 'dûtes', 'durent']","['devrai', 'devras', 'devra', 'devrons', 'devrez', 'devront']","['ai dû', 'as dû', 'a dû', 'avons dû', 'avez dû', 'ont dû']","['avais dû', 'avais dû', 'avait dû', 'avions dû', 'aviez dû', 'avaient dû']","['eus dû', 'eus dû', 'eut dû', 'eûmes dû', 'eûtes dû', 'eurent dû']","['aurai dû', 'auras dû', 'aura dû', 'aurons dû', 'aurez dû', 'auront dû']","['doive', 'doives', 'doive', 'devions', 'deviez', 'doivent']","['aie dû', 'aies dû', 'ait dû', 'ayons dû', 'ayez dû', 'aient dû']","['dusse', 'dusses', 'dût', 'dussions', 'dussiez', 'dussent']","['eusse dû', 'eusses dû', 'eût dû', 'eussions dû', 'eussiez dû', 'eussent dû']","['devrais', 'devrais', 'devrait', 'devrions', 'devriez', 'devraient']","['aurais dû', 'aurais dû', 'aurait dû', 'aurions dû', 'auriez dû', 'auraient dû']"
croire,"['crois', 'crois', 'croit', 'croyons', 'croyez', 'croient']","['croyais', 'croyais', 'croyait', 'croyions', 'croyiez', 'croyaient']","['crus', 'crus', 'crut', 'crûmes', 'crûtes', 'crurent']","['croirai', 'croiras', 'croira', 'croirons', 'croirez', 'croiront']","['ai cru', 'as cru', 'a cru', 'avons cru', 'avez cru', 'ont cru']","['avais cru', 'avais cru', 'avait cru', 'avions cru', 'aviez cru', 'avaient cru']","['eus cru', 'eus cru', 'eut cru', 'eûmes cru', 'eûtes cru', 'eurent cru']","['aurai cru', 'auras cru', 'aura cru', 'aurons cru', 'aurez cru', 'auront cru']","['croie', 'croies', 'croie', 'croyions', 'croyiez', 'croient']","['aie cru', 'aies cru', 'ait cru', 'ayons cru', 'ayez cru', 'aient cru']","['crusse', 'crusses', 'crût', 'crussions', 'crussiez', 'crussent']","['eusse cru', 'eusses cru', 'eût cru', 'eussions cru', 'eussiez cru', 'eussent cru']","['croirais', 'croirais', 'croirait', 'croirions', 'croiriez', 'croiraient']","['aurais cru', 'aurais cru', 'aurait cru', 'aurions cru', 'auriez cru', 'auraient cru']"
prendre,"['prends', 'prends', 'prend', 'prenons', 'prenez', 'prennent']","['prenais', 'prenais', 'prenait', 'prenions', 'preniez', 'prenaient']","['pris', 'pris', 'prit', 'prîmes', 'prîtes', 'prirent']","['prendrai', 'prendras', 'prendra', 'prendrons', 'prendrez', 'prendront']","['ai pris', 'as pris', 'a pris', 'avons pris', 'avez pris', 'ont pris']","['avais pris', 'avais pris', 'avait pris', 'avions pris', 'aviez pris', 'avaient pris']","['eus pris', 'eus pris', 'eut pris', 'eûmes pris', 'eûtes pris', 'eurent pris']","['aurai pris', 'auras pris', 'aura pris', 'aurons pris', 'aurez pris', 'auront pris']","['prenne', 'prennes', 'prenne', 'prenions', 'preniez', 'prennent']","['aie pris', 'aies pris', 'ait pris', 'ayons pris', 'ayez pris', 'aient pris']","['prisse', 'prisses', 'prît', 'prissions', 'prissiez', 'prissent']","['eusse pris', 'eusses pris', 'eût pris', 'eussions pris', 'eussiez pris', 'eussent pris']","['prendrais', 'prendrais', 'prendrait', 'prendrions', 'prendriez', 'prendraient']","['aurais pris', 'aurais pris', 'aurait pris', 'aurions pris', 'auriez pris', 'auraient pris']"
mettre,"['mets', 'mets', 'met', 'mettons', 'mettez', 'mettent']","['mettais', 'mettais', 'mettait', 'mettions', 'mettiez', 'mettaient']","['mis', 'mis', 'mit', 'mîmes', 'mîtes', 'mirent']","['mettrai', 'mettras', 'mettra', 'mettrons', 'mettrez', 'mettront']","['ai mis', 'as mis', 'a mis', 'avons mis', 'avez mis', 'ont mis']","['avais mis', 'avais mis', 'avait mis', 'avions mis', 'aviez mis', 'avaient mis']","['eus mis', 'eus mis', 'eut mis', 'eûmes mis', 'eûtes mis', 'eurent mis']","['aurai mis', 'auras mis', 'aura mis', 'aurons mis', 'aurez mis', 'auront mis']","['mette', 'mettes', 'mette', 'mettions', 'mettiez', 'mettent']","['aie mis', 'aies mis', 'ait mis', 'ayons mis', 'ayez mis', 'aient mis']","['misse', 'misses', 'mît', 'missions', 'missiez', 'missent']","['eusse mis', 'eusses mis', 'eût mis', 'eussions mis', 'eussiez mis', 'eussent mis']","['mettrais', 'mettrais', 'mettrait', 'mettrions', 'mettriez', 'mettraient']","['aurais mis', 'aurais mis', 'aurait mis', 'aurions mis', 'auriez mis', 'auraient mis']"
trouver,"['trouve', 'trouves', 'trouve', 'trouvons', 'trouvez', 'trouvent']","['trouvais', 'trouvais', 'trouvait', 'trouvions', 'trouviez', 'trouvaient']","['trouvai', 'trouvas', 'trouva', 'trouvâmes', 'trouvâtes', 'trouvèrent']","['trouverai', 'trouveras', 'trouvera', 'trouverons', 'trouverez', 'trouveront']","['ai trouvé', 'as trouvé', 'a trouvé', 'avons trouvé', 'avez trouvé', 'ont trouvé']","['avais trouvé', 'avais trouvé', 'avait trouvé', 'avions trouvé', 'aviez trouvé', 'avaient trouvé']","['eus trouvé', 'eus trouvé', 'eut trouvé', 'eûmes trouvé', 'eûtes trouvé', 'eurent trouvé']","['aurai trouvé', 'auras trouvé', 'aura trouvé', 'aurons trouvé', 'aurez trouvé', 'auront trouvé']","['trouve', 'trouves', 'trouve', 'trouvions', 'trouviez', 'trouvent']","['aie trouvé', 'aies trouvé', 'ait trouvé', 'ayons trouvé', 'ayez trouvé', 'aient trouvé']","['trouvasse', 'trouvasses', 'trouvât', 'trouvassions', 'trouvassiez', 'trouvassent']","['eusse trouvé', 'eusses trouvé', 'eût trouvé', 'eussions trouvé', 'eussiez trouvé', 'eussent trouvé']","['trouverais', 'trouverais', 'trouverait', 'trouverions', 'trouveriez', 'trouveraient']","['aurais trouvé', 'aurais trouvé', 'aurait trouvé', 'aurions trouvé', 'auriez trouvé', 'auraient trouvé']"
donner,"['donne', 'donnes', 'donne', 'donnons', 'donnez', 'donnent']","['donnais', 'donnais', 'donnait', 'donnions', 'donniez', 'donnaient']","['donnai', 'donnas', 'donna', 'donnâmes', 'donnâtes', 'donnèrent']","['donnerai', 'donneras', 'donnera', 'donnerons', 'donnerez', 'donneront']","['ai donné', 'as donné', 'a donné', 'avons donné', 'avez donné', 'ont donné']","['avais donné', 'avais donné', 'avait donné', 'avions donné', 'aviez donné', 'avaient donné']","['eus donné', 'eus donné', 'eut donné', 'eûmes donné', 'eûtes donné', 'eurent donné']","['aurai donné', 'auras donné', 'aura donné', 'aurons donné', 'aurez donné', 'auront donné']","['donne', 'donnes', 'donne', 'donnions', 'donniez', 'donnent']","['aie donné', 'aies donné', 'ait donné', 'ayons donné', 'ayez donné', 'aient donné']","['donnasse', 'donnasses', 'donnât', 'donnassions', 'donnassiez', 'donnassent']","['eusse donné', 'eusses donné', 'eût donné', 'eussions donné', 'eussiez donné', 'eussent donné']","['donnerais', 'donnerais', 'donnerait', 'donnerions', 'donneriez', 'donneraient']","['aurais donné', 'aurais donné', 'aurait donné', 'aurions donné', 'auriez donné', 'auraient donné']"
parler,"['parle', 'parles', 'parle', 'parlons', 'parlez', 'parlent']","['parlais', 'parlais', 'parlait', 'parlions', 'parliez', 'parlaient']","['parlai', 'parlas', 'parla', 'parlâmes', 'parlâtes', 'parlèrent']","['parlerai', 'parleras', 'parlera', 'parlerons', 'parlerez', 'parleront']","['ai parlé', 'as parlé', 'a parlé', 'avons parlé', 'avez parlé', 'ont parlé']","['avais parlé', 'avais parlé', 'avait parlé', 'avions parlé', 'aviez parlé', 'avaient parlé']","['eus parlé', 'eus parlé', 'eut parlé', 'eûmes parlé', 'eûtes parlé', 'eurent parlé']","['aurai parlé', 'auras parlé', 'aura parlé', 'aurons parlé', 'aurez parlé', 'auront parlé']","['parle', 'parles', 'parle', 'parlions', 'parliez', 'parlent']","['aie parlé', 'aies parlé', 'ait parlé', 'ayons parlé', 'ayez parlé', 'aient parlé']","['parlasse', 'parlasses', 'parlât', 'parlassions', 'parlassiez', 'parlassent']","['eusse parlé', 'eusses parlé', 'eût parlé', 'eussions parlé', 'eussiez parlé', 'eussent parlé']","['parlerais', 'parlerais', 'parlerait', 'parlerions', 'parleriez', 'parleraient']","['aurais parlé', 'aurais parlé', 'aurait parlé', 'aurions parlé', 'auriez parlé', 'auraient parlé']"
aimer,"['aime', 'aimes', 'aime', 'aimons', 'aimez', 'aiment']","['aimais', 'aimais', 'aimait', 'aimions', 'aimiez', 'aimaient']","['aimai', 'aimas', 'aima', 'aimâmes', 'aimâtes', 'aimèrent']","['aimerai', 'aimeras', 'aimera', 'aimerons', 'aimerez', 'aimeront']","['ai aimé', 'as aimé', 'a aimé', 'avons aimé', 'avez aimé', 'ont aimé']","['avais aimé', 'avais aimé', 'avait aimé', 'avions aimé', 'aviez aimé', 'avaient aimé']","['eus aimé', 'eus aimé', 'eut aimé', 'eûmes aimé', 'eûtes aimé', 'eurent aimé']","['aurai aimé', 'auras aimé', 'aura aimé', 'aurons aimé', 'aurez aimé', 'auront aimé']","['aime', 'aimes', 'aime', 'aimions', 'aimiez', 'aiment']","['aie aimé', 'aies aimé', 'ait aimé', 'ayons aimé', 'ayez aimé', 'aient aimé']","['aimasse', 'aimasses', 'aimât', 'aimassions', 'aimassiez', 'aimassent']","['eusse aimé', 'eusses aimé', 'eût aimé', 'eussions aimé', 'eussiez aimé', 'eussent aimé']","['aimerais', 'aimerais', 'aimerait', 'aimerions', 'aimeriez', 'aimeraient']","['aurais aimé', 'aurais aimé', 'aurait aimé', 'aurions aimé', 'auriez aimé', 'auraient aimé']"
passer,"['passe', 'passes', 'passe', 'passons', 'passez', 'passent']","['passais', 'passais', 'passait', 'passions', 'passiez', 'passaient']","['passai', 'passas', 'passa', 'passâmes', 'passâtes', 'passèrent']","['passerai', 'passeras', 'passera', 'passerons', 'passerez', 'passeront']","['suis passé', 'es passé', 'est passé', 'sommes passés', 'êtes passés', 'sont passés']","['étais passé', 'étais passé', 'était passé', 'étions passés', 'étiez passés', 'étaient passés']","['fus passé', 'fus passé', 'fut passé', 'fûmes passés', 'fûtes passés', 'furent passés']","['serai passé', 'seras passé', 'sera passé', 'serons passés', 'serez passés', 'seront passés']","['passe', 'passes', 'passe', 'passions', 'passiez', 'passent']","['sois passé', 'sois passé', 'soit passé', 'soyons passés', 'soyez passés', 'soient passés']","['passasse', 'passasses', 'passât', 'passassions', 'passassiez', 'passassent']","['fusse passé', 'fusses passé', 'fût passé', 'fussions passés', 'fussiez passés', 'fussent passés']","['passerais', 'passerais', 'passerait', 'passerions', 'passeriez', 'passeraient']","['serais passé', 'serais passé', 'serait passé', 'serions passés', 'seriez passés', 'seraient passés']"
chercher,"['cherche', 'cherches', 'cherche', 'cherchons', 'cherchez', 'cherchent']","['cherchais', 'cherchais', 'cherchait', 'cherchions', 'cherchiez', 'cherchaient']","['cherchai', 'cherchas', 'chercha', 'cherchâmes', 'cherchâtes', 'cherchèrent']","['chercherai', 'chercheras', 'cherchera', 'chercherons', 'chercherez', 'chercheront']","['ai cherché', 'as cherché', 'a cherché', 'avons cherché', 'avez cherché', 'ont cherché']","['avais cherché', 'avais cherché', 'avait cherché', 'avions cherché', 'aviez cherché', 'avaient cherché']","['eus cherché', 'eus cherché', 'eut cherché', 'eûmes cherché', 'eûtes cherché', 'eurent cherché']","['aurai cherché', 'auras cherché', 'aura cherché', 'aurons cherché', 'aurez cherché', 'auront cherché']","['je cherche', 'tu cherches', 'il cherche', 'nous cherchions', 'vous cherchiez', 'ils cherchent']","[""j' aie cherché"", 'tu aies cherché', 'il ait cherché', 'nous ayons cherché', 'vous ayez cherché', 'ils aient cherché']","['je cherchasse', 'tu cherchasses', 'il cherchât', 'nous cherchassions', 'vous cherchassiez', 'ils cherchassent']","[""j' eusse cherché"", 'tu eusses cherché', 'il eût cherché', 'nous eussions cherché', 'vous eussiez cherché', 'ils eussent cherché']","['chercherais', 'chercherais', 'chercherait', 'chercherions', 'chercheriez', 'chercheraient']","['aurais cherché', 'aurais cherché', 'aurait cherché', 'aurions cherché', 'auriez cherché', 'auraient cherché']"
sourire,"['souris', 'souris', 'sourit', 'sourions', 'souriez', 'sourient']","['souriais', 'souriais', 'souriait', 'souriions', 'souriiez', 'souriaient']","['souris', 'souris', 'sourit', 'sourîmes', 'sourîtes', 'sourirent']","['sourirai', 'souriras', 'sourira', 'sourirons', 'sourirez', 'souriront']","['ai souri', 'as souri', 'a souri', 'avons souri', 'avez souri', 'ont souri']","['avais souri', 'avais souri', 'avait souri', 'avions souri', 'aviez souri', 'avaient souri']","['eus souri', 'eus souri', 'eut souri', 'eûmes souri', 'eûtes souri', 'eurent souri']","['aurai souri', 'auras souri', 'aura souri', 'aurons souri', 'aurez souri', 'auront souri']","['je sourie', 'tu souries', 'il sourie', 'nous souriions', 'vous souriiez', 'ils sourient']","[""j' aie souri"", 'tu aies souri', 'il ait souri', 'nous ayons souri', 'vous ayez souri', 'ils aient souri']","['je sourisse', 'tu sourisses', 'il sourît', 'nous sourissions', 'vous sourissiez', 'ils sourissent']","[""j' eusse souri"", 'tu eusses souri', 'il eût souri', 'nous eussions souri', 'vous eussiez souri', 'ils eussent souri']","['sourirais', 'sourirais', 'sourirait', 'souririons', 'souririez', 'souriraient']","['aurais souri', 'aurais souri', 'aurait souri', 'aurions souri', 'auriez souri', 'auraient souri']"
